comment_id,post_id,author_id,body,created_date,score,edited
igikhz0,w16zkq,6cghe6z6,I saw this too!!! Got a shock as it was my first time seeing it! I still thought if its fireworks 😄,2022-07-17 21:28:17+08:00,2,False
igiep98,w16ebx,2vx2xcyw,"> # Shooting: Singapore's Teh Xiu Hong and Co create World Cup history in Changwon

> SINGAPORE - The Republic's shooter Teh Xiu Hong was so on fire that she scored a hit 15 times in a row towards the end of the ISSF World Cup women's 25m pistol medal match to win gold with a round of five shots to spare on Saturday (July 16).

> A hit is considered a shot value of 10.2 or higher.

> In doing so, the 28-year-old also helped Singapore win their first gold medal in the pistol discipline of the World Cup series, as teammate Teo Shun Xie took bronze in the same event.

> There were more reasons for the national shooters to cheer at the Changwon International Shooting Range on Sunday as Teh teamed up with her younger sister Teh Xiu Yi and Teo to beat Thailand's Tanyaporn Prucksakorn, Pim-On Klaisuban and Chawisa Paduka 17-9 to claim another gold in the women's 25m pistol team event.

> The trio had won another bronze in the women's air pistol team event on Tuesday after beating Japan's Yukari Konishi, Mika Zaitsu and Satoko Yamada 16-10 in the play-offs.

> In the individual event, Xiu Hong and Teo had made it to the last eight as the first and seventh qualifiers respectively out of 28 athletes.

> They were in separate ranking matches, where Xiu Hong recorded 14 hits out of 20 shots to edge Austria's Sylvia Steiner out of the medal match by one hit. Meanwhile, Teo topped her ranking match with 15 hits.In the four-woman medal match, the shooter with the lowest score after four rounds is knocked out, following which there will be further eliminations after two rounds until the champion is determined.

> India's Manu Bhaker was the first to fall after recording just nine hits in the first 20 shots. Xiu Hong led after six rounds with 23 hits but Frenchwoman Mathilde Lamolle and Teo were tied at 19 hits and required a shootout to decide who would progress. They drew 3-3 in the first shootout round, before Lamolle won 4-3.

> However, Xiu Hong was just too accurate and another perfect round meant that she led 28-21 and had an unassailable lead going into the final round.

> Singapore Shooting Association president Michael Vaz hailed the shooters' achievements despite not having a finals range and a similar competitive environment to train in at home.

> Congratulating the team, he also praised the champion, noted her growth and said: ""In 2018, I watched Xiu Hong enter the finals in the World Cup in Changwon, but the fear of shooting in a finals range terrified her. The lack of training in finals events saw her eliminated in the first round.

> ""Much has changed. In January 2022, I watched her struggle during the ISSF Jakarta GP to win a bronze. And Xiu Hong is now a World Cup champion, while Shun Xie also fought her way to a bronze medal, both of which are truly commendable achievements.""

---
1.0.2 | [Source code](https://github.com/fterh/sneakpeek) | [Contribute](https://github.com/fterh/sneakpeek)",2022-07-17 20:32:31+08:00,2,False
igip6zv,w16ebx,c2b3l,Bravo! 👍,2022-07-17 22:08:28+08:00,3,False
igiefjh,w161z0,2h2dfwaj,Lol. Lies lies and damn statistics,2022-07-17 20:29:38+08:00,15,False
igish49,w161z0,nnoonp9,">100 to students from 21 countries including several Asean and European nations as well as India, China, Australia, New Zealand and the United States.

paying full international fees right",2022-07-17 22:35:00+08:00,6,False
igicsx2,w161z0,2vx2xcyw,"> # New NUS College off to strong start with 400 students picked from 7,000 applicants

> SINGAPORE - Despite doubts expressed by some over the popularity of the new National University of Singapore (NUS) College formed from the merger of Yale-NUS College and the University Scholars Programme (USP), it is off to a strong start with about 400 students selected from 7,000 applicants.

> About 300 of the places went to Singaporeans and 100 to students from 21 countries including several Asean and European nations as well as India, China, Australia, New Zealand and the United States.

---
1.0.2 | [Source code](https://github.com/fterh/sneakpeek) | [Contribute](https://github.com/fterh/sneakpeek)",2022-07-17 20:12:04+08:00,2,False
igiar16,w15eoc,hlfwqut,"It's not crazy, it's the Navy",2022-07-17 19:48:41+08:00,215,False
igia0oy,w15eoc,gw85o,Need to add 1 more SAF core value: don’t cheat Singaporeans,2022-07-17 19:40:06+08:00,179,False
igiad6l,w15eoc,1h2qsr,Inflation so bad that even navy man have to moonlight on land,2022-07-17 19:44:12+08:00,105,False
igigiz6,w15eoc,6334rci,Who the fuck is looking for donations at 1.21AM???,2022-07-17 20:51:03+08:00,72,False
igia62a,w15eoc,dq0kb,GGWP to these guys. Off to DB with their asses.,2022-07-17 19:41:51+08:00,72,False
igic5xv,w15eoc,8uwe8ywh,What an effective way to stay low profile and avoid suspicion by approaching strangers outside their home at 1.21am asking for donations 🤷🤦,2022-07-17 20:04:54+08:00,73,1658060571.0
igietdc,w15eoc,2h2dfwaj,"Plot twist: these 2 people were doing spot check on some chao keng warrior. But being harebrained, they didn't confirm the unit and that was the stupid reason they could think of when the person opened the door and they realised wrong unit.

No way they will announce if really like this because it just dumb",2022-07-17 20:33:42+08:00,40,1658061463.0
igiar9e,w15eoc,97v0p7sw,Wonder what's the so called disciplinary action going to be.,2022-07-17 19:48:45+08:00,30,False
igib7p9,w15eoc,dk6t8oyp,At almost 2am? Are they ok?,2022-07-17 19:54:00+08:00,23,False
igihzxu,w15eoc,14ozgu,"When they said that they were students collecting donations, did they mean they were from Naval Base Primary School?",2022-07-17 21:05:13+08:00,26,False
igibfla,w15e2a,doq78cqv,"Always a big red flag when people traipse into the intertidal area carrying pails. You shouldn’t be bringing anything back with you at all, whether flora or fauna. Unless you are there to pick rubbish, then ok carry your pail.",2022-07-17 19:56:36+08:00,74,False
igieb59,w15e2a,x8s1t,"I never understand why people do this.

Sea creatures don’t live long when taken out of the ocean",2022-07-17 20:28:21+08:00,40,False
igih7hi,w15e2a,5ge6mxj,"Just a quick shout-out for biogirl MJ. Local youtuber who has a few videos on intertidal walks. Highly recommended for everyone, especially parents.",2022-07-17 20:57:44+08:00,38,False
igieuqp,w15e2a,a6qp8yum,"Kids stupid, parents stupider",2022-07-17 20:34:05+08:00,36,False
igid91u,w15e2a,vjxm736,Really hope more awareness can be raised on this issue. Most parent are unaware of the harm they are causing,2022-07-17 20:17:06+08:00,27,False
igii8tz,w15e2a,mnfmw2yl,Too many inconsiderate parents breeding inconsiderate kids.,2022-07-17 21:07:37+08:00,17,False
igipjh8,w15e2a,13dt2t,"Since we’re a “fine” country, should just one time fine a whole bunch of them and make it viral. It’ll probably be a better “education” and deterrent than any signages or education on etiquette.",2022-07-17 22:11:21+08:00,10,False
igiih18,w15e2a,754cb17e,Ask them to swallow whatever they dig up on the spot,2022-07-17 21:09:48+08:00,7,False
igig1i3,w15e2a,gkcuskx4,Why so fucking stupid???,2022-07-17 20:46:12+08:00,7,False
igiiqye,w15e2a,me9qlj1h,I've seen families do this at Pasir Ris beach as well ...,2022-07-17 21:12:20+08:00,5,False
igigtii,w15a9k,6334rci,"> On Thursday (July 14), Nursyafiqah, who holds the rank of staff sergeant, was jailed for six weeks.

Only 6 weeks? That's pretty light isn't it for accusing a man of molest and harassment. He must be pretty devastated reputation wise and this only got proven false because of evidence on her phone which she stupidly forgot to erase.

If she erased it and denied everything, he would be fucked hard especially since she was also police.

> She only came clean when evidence of their affair was found in her mobile phone. For each charge of giving false information to a public servant, Nursyafiqah could have been jailed for up to two years or fined, or punished with both. 

Give her the full fucking 2 years. She never intended to admit it and only got caught due to her stupidity.",2022-07-17 20:53:54+08:00,67,1658062640.0
igi8xex,w15a9k,liytxwj0,Both are slime,2022-07-17 19:26:41+08:00,23,False
igidzsc,w15a9k,a49qpex6,Why is the guy given a backend role instead?,2022-07-17 20:25:01+08:00,6,False
igiw8ca,w15a9k,qcbvdrw,"Well, that's a big mess.",2022-07-17 23:03:52+08:00,1,False
igj2ifv,w15a9k,c9sw4q86,Hell hath no fury like a woman scorned,2022-07-17 23:50:55+08:00,1,False
igi9ts0,w14os3,3n7itzk9,SG Busleh best,2022-07-17 19:37:48+08:00,16,False
igi663g,w14os3,b5pvfvch,"I use the MyTransport app, it’s pretty accurate and I can bookmark individual bus stops that I’ll frequently wait at. However, this app doesn’t let you bookmark MRT stations and it doesn’t tell you when the next train is coming. It’s great for buses though, no doubt.",2022-07-17 18:50:52+08:00,8,False
igi81jj,w14os3,i7djs,"Singabus, GoThere, SG NextBus, CityMapper etc. they’re all using LTA bus arrivals API so the data should be the same. Pick one with the interface you like.",2022-07-17 19:15:44+08:00,6,False
igi66ow,w14os3,n0pvj,Citymapper,2022-07-17 18:51:05+08:00,2,False
igiicjq,w14os3,y87og,"Ngl Gmaps works damn well, got bus timing got crowd level and it shows you the full route on the map. Nothing comes close to it really",2022-07-17 21:08:37+08:00,2,1658063605.0
igi85fi,w14os3,7c1uw7ks,"For MRT Timings - Download SMRTConnect

For Bus Timings - The best UI I feel is Singabus, but there are ads. Ad free wise, you can try MyTransport",2022-07-17 19:17:03+08:00,1,False
igikhjm,w14os3,2qd4jo8k,Swipe left,2022-07-17 21:28:11+08:00,1,False
igi3ztm,w14ahz,2vx2xcyw,"> # More than 3,000 people turn up to give blood after Red Cross appeal for A+, O+ donors

> SINGAPORE - An appeal to donate blood as supplies run low has drawn an overwhelming response, with more than 3,300 people coming forward over the past week.

> This represents a 43 per cent increase from a typical week's collection, said the Singapore Red Cross (SRC), which is the Republic's national blood donor recruiter.

> ""We hope that this momentum will continue next week to bring our blood stocks up to healthy levels,"" said the humanitarian organisation.

> Located at the Health Sciences Authority (HSA) building in Outram Road, the Bloodbank@HSA - one of four blood banks across the island - was packed when The Straits Times visited on Friday (July 15).

> Among the donors there was Mr Goh Chee Wee, who said it was his first time donating since 1996.

> Work and other commitments, which often require him to travel, left little time for him to donate blood in the years since then, said the 43-year-old army regular.

> He was there with about 40 others from his unit, which had made an informal request for servicemen to volunteer to donate blood that day.

> Mr Goh, whose blood type is A+, said he was inspired by recent social media posts put out by Health Minister Ong Ye Kung, who shared SRC's call for blood donors to come forward.

> He added that as a sergeant major, he felt it was important to lead by example.

> Full-time national serviceman Eldridge Surianto was a first-time blood donor.

> The 19-year-old, who has O+ blood, said his decision to donate blood was a personal one - he has relatives who required blood transfusions because of cancer treatments.

> ""I was quite nervous at first,"" he said, noting that he had heard that giving blood could cause dizziness.

> ""But after this experience, I don't think it's that scary,"" said Mr Surianto, adding that he would consider doing it again in future.

> On July 8, SRC had called for more blood donors, said a spokesman, as there was less than nine days' worth of A+ and O+ blood then.

---
1.0.2 | [Source code](https://github.com/fterh/sneakpeek) | [Contribute](https://github.com/fterh/sneakpeek)",2022-07-17 18:20:05+08:00,4,False
